case_status,location,date,text
Opened,"14 Thomas St, Jamaica Plain https://t.co/LHjSefeVlt. Found scale for drug dealing.",2016-03-06 14:49:09,"Opened report via android at 14 Thomas St, Jamaica Plain https://t.co/LHjSefeVlt. Found scale for drug dealing. https://t.co/Rk5U6LH0sN"
Opened,"1219 Commonwealth Ave, Allston https://t.co/er2sdaNP0y.",2016-03-06 14:47:27,"Opened Overflowing Trash Can report via iphone at 1219 Commonwealth Ave, Allston https://t.co/er2sdaNP0y. https://t.co/8metsLIm92"
Opened,"1207 Commonwealth Ave, Allston https://t.co/K9R6PBOT8p.",2016-03-06 14:47:00,"Opened Illegal Graffiti report via iphone at 1207 Commonwealth Ave, Allston https://t.co/K9R6PBOT8p. https://t.co/nVTulgo5yl"
Opened,"54 Cresthill Rd, Brighton https://t.co/o1Fz0864AI.",2016-03-06 13:57:44,"Opened Residential Trash out Illegally report via iphone at 54 Cresthill Rd, Brighton https://t.co/o1Fz0864AI. https://t.co/NglksiAZ2I"
Closed,"15 Maria Ln, Roslindale https://t.co/MR5ZyidXCx. Case closed. case noted. no cep violation found.",2016-03-06 13:56:27,"Closed report at 15 Maria Ln, Roslindale https://t.co/MR5ZyidXCx. Case closed. case noted. no cep violation found. https://t.co/lbTdve9n7D"
Closed,"865 South St, Roslindale",2016-03-06 13:50:27,"Closed Residential Trash out Illegally report at 865 South St, Roslindale https://t.co/wgx4S29KqQ. Case closed. case resolved."
Closed,150 Kneeland St https://t.co/xiswzug3w9. Case closed. case noted. ticket has been issued.,2016-03-06 13:23:46,Closed Litter report at 150 Kneeland St https://t.co/xiswzug3w9. Case closed. case noted. ticket has been issued. https://t.co/1RFqbwVo88
Closed,"15 Gloucester St, 15 1 https://t.co/et1nC94BcE. Case closed. case resolved.",2016-03-06 13:21:31,"Closed Litter report at 15 Gloucester St, 15 1 https://t.co/et1nC94BcE. Case closed. case resolved. https://t.co/r5r6HAmp3f"
Closed,"61 School St, Roxbury",2016-03-06 13:16:16,"Closed report at 61 School St, Roxbury https://t.co/WaYpU4Sr1i. Case closed. case noted. no violation found."
Closed,"53 Chandler St, 53 1 https://t.co/7RGM3VPvwd. Case closed. case resolved.",2016-03-06 13:07:50,"Closed Litter report at 53 Chandler St, 53 1 https://t.co/7RGM3VPvwd. Case closed. case resolved. https://t.co/yOglLlJ7eA"
Closed,"5 7 Lawrence Pl, Brighton",2016-03-06 12:41:57,"Closed report at 5 7 Lawrence Pl, Brighton https://t.co/vcr3KNYc2r. Case closed. case noted. no violation found."
Closed,"200 N Beacon St, Brighton https://t.co/q5lXiLMSmc. Case closed. case noted. no violations found.",2016-03-06 12:38:47,"Closed report at 200 N Beacon St, Brighton https://t.co/q5lXiLMSmc. Case closed. case noted. no violations found. https://t.co/8h3ymj5FCF"
Closed,Beach St Boston Suffolk County,2016-03-06 09:35:02,Closed Street Lights report at Beach St Boston Suffolk County https://t.co/yAVIFXDE8G. Case closed. case resolved. repaired last week.
Closed,51 Stuart St https://t.co/2xq4u7jBh1. Case closed. case resolved. painted box.,2016-03-06 09:18:39,Closed Illegal Graffiti report at 51 Stuart St https://t.co/2xq4u7jBh1. Case closed. case resolved. painted box. https://t.co/AM5IsbHfU3
Opened,51 Stuart St https://t.co/2xq4u7jBh1. Tag and stickers.,2016-03-06 08:48:57,Opened Illegal Graffiti report via android at 51 Stuart St https://t.co/2xq4u7jBh1. Tag and stickers. https://t.co/9x6uD0cIb1
Opened,Intersection Of Warrenton St &amp; Stuart St https://t.co/io8NUwV38Q.,2016-03-06 08:38:26,Opened Illegal Graffiti report via android at Intersection Of Warrenton St &amp; Stuart St https://t.co/io8NUwV38Q. https://t.co/NfcxPKmGTr
Opened,Intersection Of Church St &amp; Melrose St https://t.co/lqqtiLKGMc.,2016-03-06 08:20:26,Opened Illegal Graffiti report via android at Intersection Of Church St &amp; Melrose St https://t.co/lqqtiLKGMc. https://t.co/0Us6flKFvg
Opened,306 Stuart St https://t.co/qUuIBCW2bd. Rope stick on pole.,2016-03-06 08:00:33,Opened Litter report via android at 306 Stuart St https://t.co/qUuIBCW2bd. Rope stick on pole. https://t.co/8oWue2TQU4
Opened,306 Stuart St https://t.co/o59EHvYnVJ. Tape and tope around pole.,2016-03-06 07:59:27,Opened Litter report via android at 306 Stuart St https://t.co/o59EHvYnVJ. Tape and tope around pole. https://t.co/4vEhoFSRKj
Opened,Intersection Of Berkeley St &amp; Stuart St https://t.co/8V3bGMXKih.,2016-03-06 07:45:17,Opened Illegal Graffiti report via android at Intersection Of Berkeley St &amp; Stuart St https://t.co/8V3bGMXKih. https://t.co/6aXhOvN1oQ
Opened,Intersection Of Berkeley St &amp; Stuart St https://t.co/JZDXD8o7Va.,2016-03-06 07:42:45,Opened Illegal Graffiti report via android at Intersection Of Berkeley St &amp; Stuart St https://t.co/JZDXD8o7Va. https://t.co/VRR7Xh0A0E
Opened,Intersection Of Exeter St &amp; Huntington Ave https://t.co/wD3iwJtYnx.,2016-03-06 06:34:52,Opened Illegal Graffiti report via android at Intersection Of Exeter St &amp; Huntington Ave https://t.co/wD3iwJtYnx. https://t.co/DaszuD6bMD
Opened,Intersection Of Dartmouth St &amp; Stuart St https://t.co/VqtW7WO17S.,2016-03-06 06:28:02,Opened Illegal Graffiti report via android at Intersection Of Dartmouth St &amp; Stuart St https://t.co/VqtW7WO17S. https://t.co/ZeFt1aPe9S
Opened,155 Dartmouth St https://t.co/70RfHxmaAp. Stickers.,2016-03-06 06:23:47,Opened Illegal Graffiti report via android at 155 Dartmouth St https://t.co/70RfHxmaAp. Stickers. https://t.co/Y2bSUVXKNK
Opened,Intersection Of Clinton St &amp; North St,2016-03-06 05:54:12,Opened Illegal Parking report via android at Intersection Of Clinton St &amp; North St https://t.co/M3XcShHPk5. Cars parked in cab stand.
Opened,"488 Adams St, Dorchester https://t.co/ezh9UCdrno. Car accident debris.",2016-03-06 05:21:44,"Opened Litter report via android at 488 Adams St, Dorchester https://t.co/ezh9UCdrno. Car accident debris. https://t.co/n9PuPFuI2v"
Opened,"301 Emerson St, South Boston",2016-03-06 04:48:23,"Opened Illegal Parking report via iphone at 301 Emerson St, South Boston https://t.co/3wA2OE9R7Z. Has no parking permit."
Opened,"36 Queensberry St, C https://t.co/iZqRzwUrrV. Plastic tub on sidewalk.",2016-03-06 03:54:25,"Opened Litter report via android at 36 Queensberry St, C https://t.co/iZqRzwUrrV. Plastic tub on sidewalk. https://t.co/JTKZzEfn7b"
Closed,"21 23 Higgins St, Allston",2016-03-06 02:39:11,"Closed Illegal Parking report at 21 23 Higgins St, Allston https://t.co/h06Pe7q4ri. Case closed. case resolved. vehicles tagged."
Closed,36 Peterborough St,2016-03-06 02:24:52,Closed Illegal Parking report at 36 Peterborough St https://t.co/9QpF6PX5zl. Case closed. case resolved. vehicles tagged.
Opened,"1518 Columbia Rd, South Boston",2016-03-06 02:13:47,"Opened Rodent Sighting report via android at 1518 Columbia Rd, South Boston https://t.co/yC0zKstYST. Rats in ally."
Opened,36 Peterborough St,2016-03-06 01:59:21,Opened Illegal Parking report via iphone at 36 Peterborough St https://t.co/9QpF6PX5zl. People lllegal parking every night.
Opened,132 Chandler St https://t.co/9tQQJJaVE2.,2016-03-06 01:44:08,Opened Residential Trash out Illegally report via iphone at 132 Chandler St https://t.co/9tQQJJaVE2. https://t.co/HwwvmUNHem
Closed,"3 Lovis St, South Boston",2016-03-06 01:24:50,"Closed Illegal Parking report at 3 Lovis St, South Boston https://t.co/WE4gNQ2q86. Case closed. case resolved. clear at this time."
Opened,"55 Chandler St, 4 https://t.co/ehm4rTyo1x.",2016-03-06 00:45:30,"Opened Illegal Parking report via iphone at 55 Chandler St, 4 https://t.co/ehm4rTyo1x. https://t.co/nxSc0kOhQU"
Opened,150 Kneeland St https://t.co/xiswzug3w9. Been here for weeks.,2016-03-05 22:58:24,Opened Litter report via iphone at 150 Kneeland St https://t.co/xiswzug3w9. Been here for weeks. https://t.co/hewWZ4wfQl
Closed,1607 Commonwealth Avenue Brighton,2016-03-05 22:50:55,Closed Litter report at 1607 Commonwealth Avenue Brighton https://t.co/umFyZypTf1. Case closed. case resolved. was cited for loose trash.
Closed,1619 Commonwealth Avenue Brighton,2016-03-05 22:42:14,Closed Litter report at 1619 Commonwealth Avenue Brighton https://t.co/0tlCaN91Uo. Case closed. case resolved. was cited for loose trash.
Closed,"77 Waltham St, Roxbury https://t.co/V2aNUbhHLu. Case closed. case resolved. pick up trash.",2016-03-05 22:41:55,"Closed Litter report at 77 Waltham St, Roxbury https://t.co/V2aNUbhHLu. Case closed. case resolved. pick up trash. https://t.co/GV2ynwpB0J"
Opened,14 Bradbury St Allston,2016-03-05 22:41:31,Opened report via android at 14 Bradbury St Allston https://t.co/IQRa9yRuMx. Gigantic construction out of city variance/ harmony.
Closed,"75 Waltham St, Roxbury https://t.co/EjrZWhyf2D. Case closed. case resolved. pick up trash.",2016-03-05 22:41:10,"Closed Litter report at 75 Waltham St, Roxbury https://t.co/EjrZWhyf2D. Case closed. case resolved. pick up trash. https://t.co/466qOTuAz6"
Closed,"580 Washington St, 580, Dorchester https://t.co/0T7R7m8tQP. Case closed. case resolved.",2016-03-05 22:37:59,"Closed Litter report at 580 Washington St, 580, Dorchester https://t.co/0T7R7m8tQP. Case closed. case resolved. https://t.co/3J3pMRvNzo"
Closed,1615 Commonwealth Avenue Brighton,2016-03-05 22:35:10,Closed Litter report at 1615 Commonwealth Avenue Brighton https://t.co/iVijw3qFGH. Case closed. case resolved. was cited.for loose trash.
Closed,"213a 213 Kelton St, Allston",2016-03-05 22:30:12,"Closed report at 213a 213 Kelton St, Allston https://t.co/020jc30ZXj. Case closed. case resolved. was cited for over loaded dumpster."
Opened,"124 Main St, 101, Charlestown https://t.co/VXj5FC84Ao. Bus stop parking.",2016-03-05 22:27:07,"Opened Illegal Parking report via iphone at 124 Main St, 101, Charlestown https://t.co/VXj5FC84Ao. Bus stop parking. https://t.co/e71VdVwkIJ"
Closed,18 Claymoss Rd Brighton,2016-03-05 22:19:38,Closed Litter report at 18 Claymoss Rd Brighton https://t.co/GpAGs6BZCF. Case closed. case resolved. was cited loose trash.
Opened,"3 Lovis St, South Boston",2016-03-05 22:02:48,"Opened Illegal Parking report via iphone at 3 Lovis St, South Boston https://t.co/WE4gNQ2q86. Suv blocking street."
Closed,"45 Grove St, Apt 1 https://t.co/fEUI0glJJx. Case closed. case resolved. pick up waste.",2016-03-05 21:42:43,"Closed Litter report at 45 Grove St, Apt 1 https://t.co/fEUI0glJJx. Case closed. case resolved. pick up waste. https://t.co/34HNNyvvKq"
Opened,"Intersection Of Ball St &amp; Shawmut Ave, Mission Hill",2016-03-05 21:02:52,"Opened report via android at Intersection Of Ball St &amp; Shawmut Ave, Mission Hill https://t.co/7L6bxZ9IzU. Feces on sidewalk. health hazard."
Opened,15 Queensberry St https://t.co/0zCfUMltUn. Ct plate in resident zone.,2016-03-05 20:57:01,Opened Illegal Parking report via iphone at 15 Queensberry St https://t.co/0zCfUMltUn. Ct plate in resident zone. https://t.co/njpGnwrdPC
Opened,"17 Rowell St, 1, Dorchester",2016-03-05 20:16:47,"Opened report via iphone at 17 Rowell St, 1, Dorchester https://t.co/qDWddV5kFi. Electricity briefly came on, but went out again."
Opened,15 Haviland St https://t.co/wAegtj2kcZ. Light has been knocked off poll.,2016-03-05 19:11:48,Opened Street Lights report via android at 15 Haviland St https://t.co/wAegtj2kcZ. Light has been knocked off poll. https://t.co/91t6Z3622P
Opened,"28 Saranac St, Dorchester https://t.co/FB8lnqTzPt. Illegally parked.",2016-03-05 18:18:56,"Opened Illegal Parking report via iphone at 28 Saranac St, Dorchester https://t.co/FB8lnqTzPt. Illegally parked. https://t.co/zVsXZYewXg"
Closed,"116 126 Harvard Ave, Allston",2016-03-05 17:55:55,"Closed Illegal Parking report at 116 126 Harvard Ave, Allston https://t.co/GG8cCbWL34. Case closed. case noted. bus stop tagged."
Opened,Intersection Of Pumphouse Rd &amp; Massport Haul Rd,2016-03-05 17:55:05,Opened Traffic Signal report via iphone at Intersection Of Pumphouse Rd &amp; Massport Haul Rd https://t.co/3Sb2bBp2XT. Flashing red.
Closed,1 City Hall Plz,2016-03-05 17:47:53,Closed Illegal Parking report at 1 City Hall Plz https://t.co/zBonz3lLpk. Case closed. case resolved. need the location.
Opened,1 City Hall Plz,2016-03-05 17:12:56,Opened Illegal Parking report via iphone at 1 City Hall Plz https://t.co/zBonz3lLpk. Out of state plate parking in resident only spot.
Opened,"542 Cambridge St, Allston https://t.co/LEBuZR5aGQ.",2016-03-05 17:11:44,"Opened Pothole report via iphone at 542 Cambridge St, Allston https://t.co/LEBuZR5aGQ. https://t.co/KEygxGcFb0"
Opened,"2 Cambridge Ter, Allston https://t.co/QozR7YLdhC.",2016-03-05 17:11:12,"Opened Pothole report via iphone at 2 Cambridge Ter, Allston https://t.co/QozR7YLdhC. https://t.co/0oHbX200lL"
Opened,"3 Cambridge Ter, Allston https://t.co/6vsVJgXhWS.",2016-03-05 17:10:50,"Opened Pothole report via iphone at 3 Cambridge Ter, Allston https://t.co/6vsVJgXhWS. https://t.co/iCMsSbEJEf"
Opened,Intersection Of Hereford St &amp; Commonwealth Ave https://t.co/kKZ77kTIDN.,2016-03-05 17:01:58,Opened Street Lights report via iphone at Intersection Of Hereford St &amp; Commonwealth Ave https://t.co/kKZ77kTIDN. https://t.co/pvRsKHjvMN
Opened,"116 126 Harvard Ave, Allston",2016-03-05 16:54:10,"Opened Illegal Parking report via iphone at 116 126 Harvard Ave, Allston https://t.co/GG8cCbWL34. Parked cars in bus stop."
Opened,"3089 3091 Washington St, Roxbury",2016-03-05 16:44:11,"Opened Traffic Signal report via iphone at 3089 3091 Washington St, Roxbury https://t.co/tuNq0JIFSa. Need an arrow."
Opened,"164 Brighton Ave, Allston https://t.co/EJ8Q5t4sIx. Illegal parking.",2016-03-05 16:12:07,"Opened Illegal Parking report via iphone at 164 Brighton Ave, Allston https://t.co/EJ8Q5t4sIx. Illegal parking. https://t.co/U9z710UbOZ"
Opened,263-265 Northampton St https://t.co/S8Nl8KrKr4.,2016-03-05 16:00:46,Opened Illegal Graffiti report via iphone at 263-265 Northampton St https://t.co/S8Nl8KrKr4. https://t.co/zshpaPa09q
Opened,277 Northampton St https://t.co/kPDTo7ohJt.,2016-03-05 16:00:23,Opened Illegal Graffiti report via iphone at 277 Northampton St https://t.co/kPDTo7ohJt. https://t.co/J9gJUeRrmE
Opened,1767-1769 Washington St https://t.co/rjK5gpM09j.,2016-03-05 15:51:40,Opened Litter report via iphone at 1767-1769 Washington St https://t.co/rjK5gpM09j. https://t.co/AldiAKrt8j
Closed,"380 Dorchester Ave, South Boston",2016-03-05 15:31:15,"Closed Illegal Parking report at 380 Dorchester Ave, South Boston https://t.co/BtZB4fGNHe. Case closed. case noted. area clear."
Closed,21 Cooper St https://t.co/VlL84hd6Vm. Case closed. case resolved. area clear.,2016-03-05 15:28:24,Closed Illegal Parking report at 21 Cooper St https://t.co/VlL84hd6Vm. Case closed. case resolved. area clear. https://t.co/zExEtC4fIn
Opened,347 Bay State Rd,2016-03-05 15:11:49,Opened Pothole report via iphone at 347 Bay State Rd https://t.co/rlbWlL85Yy. Potholes on the bridge expansion joints on both side.
Opened,"15 Maria Ln, Roslindale https://t.co/MR5ZyidXCx. Sidewalk overgrown.",2016-03-05 15:07:27,"Opened report via iphone at 15 Maria Ln, Roslindale https://t.co/MR5ZyidXCx. Sidewalk overgrown. https://t.co/MXfup2M9je"
Opened,"158 Durnell Ave, Roslindale https://t.co/wmG1ldbwH0. Wires on sidewalk.",2016-03-05 15:02:24,"Opened report via iphone at 158 Durnell Ave, Roslindale https://t.co/wmG1ldbwH0. Wires on sidewalk. https://t.co/Ok2awajhqT"
Closed,14 St Lukes Rd Allston,2016-03-05 14:52:06,Closed Illegal Parking report at 14 St Lukes Rd Allston https://t.co/x3YbFE6A1k. Case closed. case resolved. vehicle tagged.
Closed,"313 Summit Ave, 4, Brighton",2016-03-05 14:51:58,"Closed Illegal Parking report at 313 Summit Ave, 4, Brighton https://t.co/WcEdRMPlhu. Case closed. case noted. area clear."
Opened,1619 Commonwealth Avenue Brighton,2016-03-05 14:16:52,Opened Litter report via web at 1619 Commonwealth Avenue Brighton https://t.co/0tlCaN91Uo. Litter on front entrance.
Closed,270 Hanover St https://t.co/crR8gfcqE9. Case closed. case resolved.,2016-03-05 11:15:29,Closed Overflowing Trash Can report at 270 Hanover St https://t.co/crR8gfcqE9. Case closed. case resolved. https://t.co/hVNTRwyVih
Opened,"755 Tremont St, Roxbury https://t.co/p7bFZXRCOR. Over six months here.",2016-03-05 11:09:18,"Opened Illegal Graffiti report via android at 755 Tremont St, Roxbury https://t.co/p7bFZXRCOR. Over six months here. https://t.co/VmayDc3Dol"
Opened,"313 Summit Ave, 4, Brighton",2016-03-05 10:01:20,"Opened Illegal Parking report via android at 313 Summit Ave, 4, Brighton https://t.co/WcEdRMPlhu. Parked on a handicap ramp."
Opened,"461 Commonwealth Ave, 5 https://t.co/E3C88Dv0nC.",2016-03-05 07:44:03,"Opened Street Lights report via android at 461 Commonwealth Ave, 5 https://t.co/E3C88Dv0nC. https://t.co/PRWMAkPech"
Opened,"5 Sunset St, Mission Hill",2016-03-05 06:05:29,"Opened Rodent Sighting report via iphone at 5 Sunset St, Mission Hill https://t.co/YpIvYhQzeD. Raccoons on property very dangerous."
Opened,"61 School St, Roxbury",2016-03-05 05:10:43,"Opened report via iphone at 61 School St, Roxbury https://t.co/WaYpU4Sr1i. Trash in the floor outside."
Closed,12 Church St https://t.co/xrtOsdYCex. Case closed. case resolved. picked up.,2016-03-05 04:57:15,Closed Litter report at 12 Church St https://t.co/xrtOsdYCex. Case closed. case resolved. picked up. https://t.co/X0A5N75RjZ
Opened,14 St Lukes Rd Allston,2016-03-05 03:59:20,Opened Illegal Parking report via web at 14 St Lukes Rd Allston https://t.co/x3YbFE6A1k. Vermont plate gkn 792 parked in resident parking.
Opened,21 Cooper St https://t.co/VlL84hd6Vm.,2016-03-05 03:33:00,Opened Illegal Parking report via iphone at 21 Cooper St https://t.co/VlL84hd6Vm. https://t.co/ttVVA5xIYO
Opened,"40 Monadnock St, Dorchester",2016-03-05 03:22:24,"Opened report via iphone at 40 Monadnock St, Dorchester https://t.co/bxXxctnkzp. Lights went off."
Opened,36 Lawrence St,2016-03-05 02:47:42,Opened Street Lights report via iphone at 36 Lawrence St https://t.co/BwUWxaVJva. Broken street light.
Opened,"291 K St, South Boston",2016-03-05 02:14:00,"Opened Illegal Parking report via android at 291 K St, South Boston https://t.co/zahXSYFd2G. No parking."
Opened,"36 Trapelo St, Brighton",2016-03-05 01:43:34,"Opened Illegal Parking report via android at 36 Trapelo St, Brighton https://t.co/sj3bLiU2xF. Cars with no rpp."
Opened,"1596 Centre St, Roslindale",2016-03-05 01:25:45,"Opened Street Lights report via android at 1596 Centre St, Roslindale https://t.co/YzbkLJrafr. Led streetlight flickering/flashing."
Opened,"441 Bennington St, East Boston https://t.co/g2QxoT90FJ. They are piling up.",2016-03-05 01:17:39,"Opened report via iphone at 441 Bennington St, East Boston https://t.co/g2QxoT90FJ. They are piling up. https://t.co/gAxa6nNqti"
Opened,"153 Ashmont St, Dorchester",2016-03-05 00:22:06,"Opened Street Lights report via iphone at 153 Ashmont St, Dorchester https://t.co/EHJ7RuhX36. Light out. 155 ashmont st."
Opened,1665 Commonwealth Ave Boston,2016-03-05 00:12:04,Opened Litter report via android at 1665 Commonwealth Ave Boston https://t.co/7XLgqYgAXD. Large black trash bag on curb.
Opened,38 Fairfield St https://t.co/FqmsC4xTdC. Parked in crosswalk.,2016-03-04 23:19:35,Opened Illegal Parking report via iphone at 38 Fairfield St https://t.co/FqmsC4xTdC. Parked in crosswalk. https://t.co/ZXMP7Jupd5
Opened,"662 Massachusetts Ave, Roxbury https://t.co/L1HpzNJylC. Hot water on curb.",2016-03-04 23:04:27,"Opened report via iphone at 662 Massachusetts Ave, Roxbury https://t.co/L1HpzNJylC. Hot water on curb. https://t.co/7EEkJzXN7h"
Opened,"33 Hillcroft Rd, Jamaica Plain https://t.co/Gfz3QZ2ILd.",2016-03-04 22:45:23,"Opened Illegal Parking report via iphone at 33 Hillcroft Rd, Jamaica Plain https://t.co/Gfz3QZ2ILd. https://t.co/rAie3kbx9Y"
Closed,"307 Foster St, Brighton",2016-03-04 22:35:47,"Closed report at 307 Foster St, Brighton https://t.co/79catUJrsh. Case closed. case noted. the trash is on owner propertie."
Opened,38 Dartmouth St https://t.co/ZsdUuwbQx4.,2016-03-04 22:25:36,Opened Illegal Graffiti report via iphone at 38 Dartmouth St https://t.co/ZsdUuwbQx4. https://t.co/c5eoSuTMe3
Opened,"15 Gloucester St, 15 1",2016-03-04 22:15:44,"Opened Litter report via iphone at 15 Gloucester St, 15 1 https://t.co/et1nC94BcE. Trash."
Opened,270 Hanover St https://t.co/crR8gfcqE9.,2016-03-04 21:24:11,Opened Overflowing Trash Can report via iphone at 270 Hanover St https://t.co/crR8gfcqE9. https://t.co/u0OjOkKYsA
Opened,392–402 Shawmut Ave https://t.co/ux6MPLKRL9. Bricks missing.,2016-03-04 21:23:37,Opened Broken Sidewalk report via iphone at 392–402 Shawmut Ave https://t.co/ux6MPLKRL9. Bricks missing. https://t.co/Pe1cinHz0J
Opened,"9 11 Rosselerin Rd, Dorchester https://t.co/ohzoshCtum. Space savers.",2016-03-04 21:10:04,"Opened report via iphone at 9 11 Rosselerin Rd, Dorchester https://t.co/ohzoshCtum. Space savers. https://t.co/Uj1Na7hCJE"
Closed,"Intersection Of Dana Ave Fwy &amp; Dana Ave, Hyde Park",2016-03-04 20:15:37,"Closed report at Intersection Of Dana Ave Fwy &amp; Dana Ave, Hyde Park https://t.co/tHHdPgpA4R. Case closed. case noted."
Opened,"37 Temple Pl, 5",2016-03-04 20:12:45,"Opened Illegal Parking report via iphone at 37 Temple Pl, 5 https://t.co/CVi9E6TUzR. Multiple cars parked in clearly marked no parking zone."
Closed,15 Bellflower St Dorchester,2016-03-04 19:46:15,Closed Rodent Sighting report at 15 Bellflower St Dorchester https://t.co/ACrmzu6eJ1. Case closed. viocor: violation corrected.
Opened,"131 Boston St, Dorchester",2016-03-04 19:36:35,"Opened report via iphone at 131 Boston St, Dorchester https://t.co/AGkgv6uF4i. Broken r9 recycling cart."
Opened,"53 Chandler St, 53 1 https://t.co/7RGM3VPvwd. Uncycled.",2016-03-04 19:27:25,"Opened Litter report via iphone at 53 Chandler St, 53 1 https://t.co/7RGM3VPvwd. Uncycled. https://t.co/GVdtvAlqwD"
Opened,"50 Dorset St, 1, Dorchester https://t.co/kFnOKBNA9H. Broken r9 recycling cart.",2016-03-04 19:22:14,"Opened report via iphone at 50 Dorset St, 1, Dorchester https://t.co/kFnOKBNA9H. Broken r9 recycling cart. https://t.co/0bMD3S1dVc"
Opened,"5 7 Lawrence Pl, Brighton",2016-03-04 18:30:28,"Opened report via android at 5 7 Lawrence Pl, Brighton https://t.co/vcr3KNYc2r. Loose trash and old tv's in rear yard.rear of #5 side."
Opened,"1 Nassau St, 210 https://t.co/F3HPIfnICR.",2016-03-04 18:14:58,"Opened Abandoned Bicycle report via iphone at 1 Nassau St, 210 https://t.co/F3HPIfnICR. https://t.co/mdnV5IfmXQ"
Opened,"213a 213 Kelton St, Allston",2016-03-04 18:08:04,"Opened report via android at 213a 213 Kelton St, Allston https://t.co/020jc30ZXj. Loose trash in rear parking lot."
Opened,"297 K St, South Boston",2016-03-04 17:41:57,"Opened Residential Trash out Illegally report via iphone at 297 K St, South Boston https://t.co/jPDLOVXl1b. Trash bags out in front yard."
Closed,368 W 4th St https://t.co/0idbq4AW3S. Case closed. case noted. cited loose trash and debris.,2016-03-04 17:37:18,Closed Litter report at 368 W 4th St https://t.co/0idbq4AW3S. Case closed. case noted. cited loose trash and debris. https://t.co/gpmdhAeTPG
Closed,"27d 27f Marcella St, Roxbury https://t.co/ssucVxr7oq. Case closed. case resolved. removed.",2016-03-04 17:35:43,"Closed Litter report at 27d 27f Marcella St, Roxbury https://t.co/ssucVxr7oq. Case closed. case resolved. removed. https://t.co/bCFKJlp1Ro"
Closed,"56 Queensberry St, 56 G1 https://t.co/popouHqw6K. Case closed. case resolved. removed.",2016-03-04 17:29:22,"Closed Litter report at 56 Queensberry St, 56 G1 https://t.co/popouHqw6K. Case closed. case resolved. removed. https://t.co/ORMJ4o7drZ"
Opened,187 Beacon St https://t.co/tmvp1qyFxN. In public alley 420 several potholes.,2016-03-04 17:24:16,Opened Pothole report via iphone at 187 Beacon St https://t.co/tmvp1qyFxN. In public alley 420 several potholes. https://t.co/WoPGQiToCy
Closed,260 Longwood Ave,2016-03-04 17:16:58,Closed Dead Animal Pick-up report at 260 Longwood Ave https://t.co/zzUMcCTao7. Case closed. case resolved. removed animal.
Opened,16 Fairfield St https://t.co/c6hwLdtJq5.,2016-03-04 17:00:38,Opened Broken Sidewalk report via iphone at 16 Fairfield St https://t.co/c6hwLdtJq5. https://t.co/zAs88nDJSZ
Opened,"307 Foster St, Brighton",2016-03-04 16:50:46,"Opened report via android at 307 Foster St, Brighton https://t.co/79catUJrsh. Loose trash and debris."
Opened,5 Haven St https://t.co/xJvRNzohTz. Sewer drain needs cleaning.,2016-03-04 16:34:04,Opened report via iphone at 5 Haven St https://t.co/xJvRNzohTz. Sewer drain needs cleaning. https://t.co/JCp5DBzeFl
Opened,"Intersection Of Telford St &amp; Western Ave, Brighton",2016-03-04 16:32:09,"Opened Pothole report via iphone at Intersection Of Telford St &amp; Western Ave, Brighton https://t.co/BOuB8hLuOc. Pothole."
Opened,260 Longwood Ave,2016-03-04 16:26:57,Opened Dead Animal Pick-up report via iphone at 260 Longwood Ave https://t.co/zzUMcCTao7. On longwood ave. might be a small dog..
Opened,"27d 27f Marcella St, Roxbury https://t.co/ssucVxr7oq. Stop and shop cart.",2016-03-04 16:19:44,"Opened Litter report via iphone at 27d 27f Marcella St, Roxbury https://t.co/ssucVxr7oq. Stop and shop cart. https://t.co/ozv8bJ6Amv"
Closed,"88 Strathmore Rd, Brighton https://t.co/7baR7NG0qw. Case closed. case resolved.",2016-03-04 16:10:11,"Closed Damaged Sign report at 88 Strathmore Rd, Brighton https://t.co/7baR7NG0qw. Case closed. case resolved. https://t.co/p9q9WSwCkE"
Closed,23 East St https://t.co/icatPqtvP8. Case closed. case resolved. towed 3/4.,2016-03-04 15:39:15,Closed Abandoned Vehicle report at 23 East St https://t.co/icatPqtvP8. Case closed. case resolved. towed 3/4. https://t.co/8HKErZ8XnD
Opened,3 Knapp St https://t.co/IiacysLfTc. Multiple graffiti whole street.,2016-03-04 15:34:55,Opened Illegal Graffiti report via android at 3 Knapp St https://t.co/IiacysLfTc. Multiple graffiti whole street. https://t.co/M9jLDO67XL
Closed,Glenmore St Mattapan Boston https://t.co/GKbHNx93UU. Case closed. case resolved. made safe.,2016-03-04 15:34:07,Closed Pothole report at Glenmore St Mattapan Boston https://t.co/GKbHNx93UU. Case closed. case resolved. made safe. https://t.co/FexuVcyen8
Closed,49 Causeway St https://t.co/IGMK5xeEzK. Case closed. case resolved. emptied.,2016-03-04 15:30:20,Closed Overflowing Trash Can report at 49 Causeway St https://t.co/IGMK5xeEzK. Case closed. case resolved. emptied. https://t.co/4khg5Qi2lG
Closed,"9 Mckone St, 1, Dorchester https://t.co/vrrU7jdyTt. Case closed. case resolved. made safe.",2016-03-04 15:19:20,"Closed Pothole report at 9 Mckone St, 1, Dorchester https://t.co/vrrU7jdyTt. Case closed. case resolved. made safe. https://t.co/fpNlXbfhWx"
