case_status,location,date,text
Opened,86 N Margin St,2016-03-07 19:12:42,Opened Litter report via iphone at 86 N Margin St https://t.co/2yWTCNIkFL. Litter in gutters.
Opened,"16 Boston St, 2, South Boston https://t.co/FWdar3Ylmo. No hp placard.",2016-03-07 18:49:27,"Opened Illegal Parking report via iphone at 16 Boston St, 2, South Boston https://t.co/FWdar3Ylmo. No hp placard. https://t.co/lSi3Oi6j0n"
Closed,"100 Kemble St, Roxbury https://t.co/8m153OsORW. Case closed. case resolved. removed trash.",2016-03-07 18:31:04,"Closed Litter report at 100 Kemble St, Roxbury https://t.co/8m153OsORW. Case closed. case resolved. removed trash. https://t.co/vQZR8qbLxU"
Opened,"Intersection Of Cambridge St &amp; Washington St, Brighton",2016-03-07 18:23:25,"Opened Dead Animal Pick-up report via android at Intersection Of Cambridge St &amp; Washington St, Brighton https://t.co/IbYZl1xjJb. Drat."
Opened,"612 Cambridge St, 1, Allston",2016-03-07 18:22:04,"Opened Overflowing Trash Can report via android at 612 Cambridge St, 1, Allston https://t.co/AbBkMfM2C7. No bag in barrels."
Opened,"Intersection Of Cambridge St &amp; Imrie Rd, Allston",2016-03-07 18:21:08,"Opened Litter report via android at Intersection Of Cambridge St &amp; Imrie Rd, Allston https://t.co/FTHqVdHEfR. Liter."
Opened,129 Hemenway St https://t.co/WBRsRUSBm5. Dangerous tripping hazard.,2016-03-07 17:17:02,Opened Broken Sidewalk report via iphone at 129 Hemenway St https://t.co/WBRsRUSBm5. Dangerous tripping hazard. https://t.co/DogRuYBAUR
Closed,79a Phillips St https://t.co/UlOrkJshDA. Case closed. case resolved. completed.,2016-03-07 17:06:56,Closed Litter report at 79a Phillips St https://t.co/UlOrkJshDA. Case closed. case resolved. completed. https://t.co/Zto0FafDDz
Closed,88 Berkeley St https://t.co/9kvCVvrOmg. Case closed. case resolved.,2016-03-07 16:56:39,Closed Litter report at 88 Berkeley St https://t.co/9kvCVvrOmg. Case closed. case resolved. https://t.co/L39eVNRff5
Closed,"39 Allston St, Allston",2016-03-07 16:56:34,"Closed report at 39 Allston St, Allston https://t.co/mrD4xY0ud8. Case closed. case noted. cited 35 &amp; 39 allston st loose trash."
Opened,Intersection Of Plymouth St &amp; Riverway https://t.co/xrVdcYKrjC. Turf damage.,2016-03-07 16:49:01,Opened report via iphone at Intersection Of Plymouth St &amp; Riverway https://t.co/xrVdcYKrjC. Turf damage. https://t.co/p4t8lMPMIw
Closed,Commonwealth Avenue Boston MA,2016-03-07 16:35:40,Closed Traffic Signal report at Commonwealth Avenue Boston MA https://t.co/Cxm0Mqfzsh. Case closed. case resolved. running normal operation.
Closed,"85 Centre St, Roxbury",2016-03-07 16:35:37,"Closed Illegal Parking report at 85 Centre St, Roxbury https://t.co/HKZRdUFmSL. Case closed. case resolved. two vehicles ticketed."
Opened,"67 Romsey St, Dorchester",2016-03-07 16:32:19,"Opened report via iphone at 67 Romsey St, Dorchester https://t.co/uvbirNpat5. Abandon shopping cart."
Opened,"1091 Washington St, Roxbury https://t.co/VMqYZABmAS.",2016-03-07 16:20:28,"Opened Illegal Graffiti report via iphone at 1091 Washington St, Roxbury https://t.co/VMqYZABmAS. https://t.co/yve45dFGU8"
Closed,"566 Washington St, Brighton",2016-03-07 16:19:59,"Closed report at 566 Washington St, Brighton https://t.co/O8GIN7xm0f. Case closed. case noted. cited overloaded dumpster."
Closed,50 Union St https://t.co/sKissu8vdu. Case closed. case resolved. cleaned up.,2016-03-07 16:09:39,Closed Litter report at 50 Union St https://t.co/sKissu8vdu. Case closed. case resolved. cleaned up. https://t.co/ukDcCZO6B8
Closed,"5 7 Lawrence Pl, Brighton",2016-03-07 16:04:20,"Closed report at 5 7 Lawrence Pl, Brighton https://t.co/dmZNlg3XcH. Case closed. case noted. cited improper storage."
Opened,"566 Washington St, Brighton",2016-03-07 15:59:46,"Opened report via android at 566 Washington St, Brighton https://t.co/O8GIN7xm0f. Overloaded dumpster."
Opened,Intersection Of Higginson Cir &amp; Fenway,2016-03-07 15:59:16,Opened report via iphone at Intersection Of Higginson Cir &amp; Fenway https://t.co/7GclODjud1. Piles of leaves need to be picked up. park.
Closed,1 Beacon St,2016-03-07 15:33:27,Closed Traffic Signal report at 1 Beacon St https://t.co/1hOUM0hJ3X. Case closed. case resolved. returned to normal operation.
Closed,"156 Geneva Ave, Dorchester",2016-03-07 15:33:24,"Closed Litter report at 156 Geneva Ave, Dorchester https://t.co/Jia5thBLxT. Case closed. case resolved. cited 160 for trash on property."
