date,text
2016-03-11 01:16:18,@BOS311 tomorrow is your day! What are you going to do to celebrate?    https://t.co/r8EbcLzL4g https://t.co/AZPIEczarF
2016-03-10 17:21:32,@BOS311 more cars left hooking cyclists on Comm.Points for signaling I guess @universalhub @sadbikelane @BOSbikepath https…
2016-03-10 16:58:19,@spinorama84 @universalhub @BOS311 @sadbikelane @BOSbikepath not the drivers fault bike lanes are all fucked!  keep bitching U have breaks 2
2016-03-10 16:41:53,@spinorama84 @universalhub @BOS311 @sadbikelane @BOSbikepath this is why I'd never ride my bike on comm ave. idiot drivers aren't worth it
2016-03-10 16:40:02,@nattarbox @tobascodagama @BOS311 @universalhub @sadbikelane @BOSbikepath Can be a little scary but beats being in door-zone any day
2016-03-10 16:39:12,@spinorama84 @bos311 @universalhub @sadbikelane @bosbikepath just seems like it happens a lot more in that configuration
2016-03-10 16:38:49,"@spinorama84 @bos311 @universalhub @sadbikelane @bosbikepath driver was clearly in the wrong, not questioning that or excusing it."
2016-03-10 16:37:44,@spinorama84 @tobascodagama @bos311 @universalhub @sadbikelane @bosbikepath see also riding around the garden/common
2016-03-10 16:37:37,@nattarbox @BOS311 @universalhub @sadbikelane @BOSbikepath But turning without yielding/looking was a good idea?
2016-03-10 16:37:06,@tobascodagama @nattarbox @BOS311 @universalhub @sadbikelane @BOSbikepath Makes sense when people pay attention and yield like the law says
2016-03-10 16:36:09,@tobascodagama @nattarbox @BOS311 @universalhub @sadbikelane @BOSbikepath Y'all would rather have the bike lane next to the parking lane?
2016-03-10 16:32:40,@nattarbox @spinorama84 @BOS311 @universalhub @sadbikelane @BOSbikepath Terrible idea. Who green-lit that?
2016-03-10 16:31:47,@spinorama84 @bos311 @universalhub @sadbikelane @bosbikepath @universalhub bike lanes on the left was such a bad idea
2016-03-10 16:23:34,@BOS311 more cars left hooking cyclists on Comm.Points for signaling I guess @universalhub @sadbikelane @BOSbikepath https://t.co/0Ojj99gQ0w
2016-03-10 14:21:15,More than 50% of @BOS311 requests are now coming through digital channels.
